RECORD_TYPE,MEMBER_PROPERTY_REFERENCE,PROPERTY_TYPE,PROPERTY_SUBTYPE,PROPERTY_DESCRIPTION,PROJECT_NAME,BUILDING_NAME,TOWER_NAME,FLAT_NUMBER,FLOOR_NUMBER,PLOT_NUMBER,SURVEY_NUMBER,CTS_NUMBER,KHATA_NUMBER,MUNICIPAL_PROPERTY_ID,PROPERTY_TAX_NUMBER,REGISTRATION_NUMBER,SALE_DEED_NUMBER,REGISTRATION_DATE,REGISTRAR_OFFICE,OCCUPANCY_STATUS,CONSTRUCTION_STATUS,ADDRESS_LINE_1,ADDRESS_LINE_2,LOCALITY,LANDMARK,CITY,DISTRICT,STATE,PINCODE,COUNTRY,LATITUDE,LONGITUDE,BUILT_UP_AREA,LAND_AREA,AREA_UNIT,NUMBER_OF_FLOORS,YEAR_OF_CONSTRUCTION,PROPERTY_AGE_YEARS
PROPERTY,ABC-COL-0054,INDUSTRIAL,WAREHOUSE,Industrial warehouse with loading bay,,,,,,Plot 54,,,,PID-TS-2024-88054,PT-TS-9900054,REG/2023/100054,SD/2023/50054,2023-02-07,Sub-Registrar Secunderabad Secunderabad,VACANT,PLOT_ONLY,"64, Secunderabad Main Road",,Secunderabad,,Secunderabad,Hyderabad,TS,500003,IN,17.443900,78.502300,3413.13,49.61,SQFT,,2005,21
PROPERTY,ABC-COL-0055,INDUSTRIAL,FACTORY,Manufacturing unit in industrial estate,,,,,,Plot 55,255/1,,,PID-DL-2020-88055,PT-DL-9900055,REG/2022/100055,SD/2022/50055,2022-08-29,Sub-Registrar Connaught Place New Delhi,UNDER_CONSTRUCTION,COMPLETED,"65, Connaught Place Main Road",Near Connaught Place Market,Connaught Place,Opposite Connaught Place Bus Stand,New Delhi,New Delhi,DL,110001,IN,28.636500,77.221700,1836.65,4909.64,SQM,,2006,20
PROPERTY,ABC-COL-0056,RESIDENTIAL,APARTMENT,4 BHK apartment in RERA registered project,Godrej Platinum,Tower B,Block 1,156,17,,,,,PID-DL-2021-88056,PT-DL-9900056,REG/2018/100056,SD/2018/50056,2018-06-25,Sub-Registrar Saket New Delhi,UNDER_CONSTRUCTION,COMPLETED,"66, Saket Main Road",Near Saket Market,Saket,,New Delhi,South Delhi,DL,110017,IN,28.530400,77.212600,3416.44,1310.86,SQM,11,2007,19
PROPERTY,ABC-COL-0057,RESIDENTIAL,ROW_HOUSE,Row house in gated community,Lodha Palava,,,,,Plot 57,,,,PID-HR-2022-88057,PT-HR-9900057,REG/2018/100057,SD/2018/50057,2018-05-28,Sub-Registrar Sector 29 Gurugram,UNDER_CONSTRUCTION,UNDER_CONSTRUCTION,"67, Sector 29 Main Road",,Sector 29,Opposite Sector 29 Bus Stand,Gurugram,Gurugram,HR,122002,IN,28.466500,77.033600,2215.4,1394.62,SQM,,2008,18
PROPERTY,ABC-COL-0058,COMMERCIAL,OFFICE,Commercial office unit in business district,,Tower D,,158,19,,,,,PID-HR-2023-88058,PT-HR-9900058,REG/2019/100058,SD/2019/50058,2019-08-05,Sub-Registrar Sector 15 Faridabad,SELF_OCCUPIED,UNDER_CONSTRUCTION,"68, Sector 15 Main Road",Near Sector 15 Market,Sector 15,,Faridabad,Faridabad,HR,121002,IN,28.416900,77.325800,2142.09,22.57,SQFT,13,2009,17
PROPERTY,ABC-COL-0059,RESIDENTIAL,VILLA,Independent villa with boundary wall,Brigade Cornerstone Utopia,,,,,Plot 59,,,,PID-UP-2024-88059,PT-UP-9900059,REG/2021/100059,SD/2021/50059,2021-10-14,Sub-Registrar Sector 62 Noida,UNDER_CONSTRUCTION,COMPLETED,"69, Sector 62 Main Road",Near Sector 62 Market,Sector 62,Opposite Sector 62 Bus Stand,Noida,Gautam Buddha Nagar,UP,201301,IN,28.636000,77.373900,2322.99,17771.82,SQM,,2010,16
PROPERTY,ABC-COL-0060,RESIDENTIAL,APARTMENT,2 BHK apartment in RERA registered project,Tata New Haven,Tower A,Block 1,160,1,,260/1,,,PID-UP-2020-88060,PT-UP-9900060,REG/2021/100060,SD/2021/50060,2021-08-01,Sub-Registrar Hazratganj Lucknow,RENTED,UNDER_CONSTRUCTION,"70, Hazratganj Main Road",,Hazratganj,,Lucknow,Lucknow,UP,226001,IN,26.846700,80.946200,3109.13,1452.18,SQM,15,2011,15
PROPERTY,ABC-COL-0061,RESIDENTIAL,VILLA,Independent villa with boundary wall,Mahindra Lifespaces Eden,,,,,Plot 61,,,,PID-WB-2021-88061,PT-WB-9900061,REG/2022/100061,SD/2022/50061,2022-11-27,Sub-Registrar Park Street Kolkata,VACANT,COMPLETED,"71, Park Street Main Road",Near Park Street Market,Park Street,Opposite Park Street Bus Stand,Kolkata,Kolkata,WB,700019,IN,22.552000,88.354000,974.48,12752.77,SQM,,2012,14
PROPERTY,ABC-COL-0062,RESIDENTIAL,ROW_HOUSE,Row house in gated community,Puravankara Purva Park,,,,,Plot 62,,,,PID-GJ-2022-88062,PT-GJ-9900062,REG/2023/100062,SD/2023/50062,2023-10-11,Sub-Registrar Navrangpura Ahmedabad,SELF_OCCUPIED,UNDER_CONSTRUCTION,"72, Navrangpura Main Road",Near Navrangpura Market,Navrangpura,,Ahmedabad,Ahmedabad,GJ,380015,IN,23.032000,72.562100,1330.72,1641.77,SQM,,2013,13
PROPERTY,ABC-COL-0063,RESIDENTIAL,APARTMENT,2 BHK apartment in RERA registered project,Embassy Lake Terraces,Tower D,Block 4,163,4,,,,,PID-GJ-2023-88063,PT-GJ-9900063,REG/2017/100063,SD/2017/50063,2017-06-22,Sub-Registrar Adajan Surat,RENTED,COMPLETED,"73, Adajan Main Road",,Adajan,Opposite Adajan Bus Stand,Surat,Surat,GJ,395007,IN,21.198900,72.833200,834.13,1118.63,SQM,18,2014,12
PROPERTY,ABC-COL-0064,RESIDENTIAL,ROW_HOUSE,Row house in gated community,M3M Golf Estate,,,,,Plot 64,,,,PID-GJ-2024-88064,PT-GJ-9900064,REG/2018/100064,SD/2018/50064,2018-12-12,Sub-Registrar Alkapuri Vadodara,SELF_OCCUPIED,UNDER_CONSTRUCTION,"74, Alkapuri Main Road",Near Alkapuri Market,Alkapuri,,Vadodara,Vadodara,GJ,390007,IN,22.311200,73.185200,3194.38,3665.64,SQFT,,2015,11
PROPERTY,ABC-COL-0065,COMMERCIAL,OFFICE,Commercial office unit in business district,,Tower A,,165,6,,265/1,,,PID-RJ-2020-88065,PT-RJ-9900065,REG/2020/100065,SD/2020/50065,2020-04-05,Sub-Registrar C-Scheme Jaipur,RENTED,COMPLETED,"75, C-Scheme Main Road",Near C-Scheme Market,C-Scheme,Opposite C-Scheme Bus Stand,Jaipur,Jaipur,RJ,302001,IN,26.917400,75.792300,2173.45,2962.45,SQFT,20,2016,10
PROPERTY,ABC-COL-0066,RESIDENTIAL,APARTMENT,2 BHK apartment in RERA registered project,Raheja Viva,Tower B,Block 3,166,7,,,,,PID-RJ-2021-88066,PT-RJ-9900066,REG/2020/100066,SD/2020/50066,2020-02-22,Sub-Registrar Fatehpura Udaipur,VACANT,PLOT_ONLY,"76, Fatehpura Main Road",,Fatehpura,,Udaipur,Udaipur,RJ,313001,IN,24.591400,73.718500,1125.58,1864.77,SQM,21,2017,9
PROPERTY,ABC-COL-0067,RESIDENTIAL,PLOT,Residential plot with demarcation,,,,,,Plot 67,167/B,,,PID-MP-2022-88067,PT-MP-9900067,REG/2020/100067,SD/2020/50067,2020-12-29,Sub-Registrar Vijay Nagar Indore,SELF_OCCUPIED,PLOT_ONLY,"77, Vijay Nagar Main Road",Near Vijay Nagar Market,Vijay Nagar,Opposite Vijay Nagar Bus Stand,Indore,Indore,MP,452001,IN,22.726600,75.864700,,23418.95,SQFT,,2018,8
PROPERTY,ABC-COL-0068,RESIDENTIAL,APARTMENT,4 BHK apartment in RERA registered project,Hiranandani Gardens,Tower D,Block 1,168,9,,,,,PID-MP-2023-88068,PT-MP-9900068,REG/2022/100068,SD/2022/50068,2022-06-13,Sub-Registrar Arera Colony Bhopal,RENTED,PLOT_ONLY,"78, Arera Colony Main Road",Near Arera Colony Market,Arera Colony,,Bhopal,Bhopal,MP,462001,IN,23.267900,77.420600,1253.88,2891.53,SQM,23,2019,7
PROPERTY,ABC-COL-0069,COMMERCIAL,PLOT,Residential plot with demarcation,,,,,,Plot 69,169/A,,,PID-KL-2024-88069,PT-KL-9900069,REG/2022/100069,SD/2022/50069,2022-11-15,Sub-Registrar Kakkanad Kochi,VACANT,PLOT_ONLY,"79, Kakkanad Main Road",,Kakkanad,Opposite Kakkanad Bus Stand,Kochi,Ernakulam,KL,682016,IN,9.990600,76.308900,,24172.43,SQFT,,2020,6
PROPERTY,ABC-COL-0070,RESIDENTIAL,APARTMENT,3 BHK apartment in RERA registered project,Kalpataru Radiance,Tower A,Block 3,170,11,,270/1,,,PID-CH-2020-88070,PT-CH-9900070,REG/2016/100070,SD/2016/50070,2016-09-19,Sub-Registrar Sector 17 Chandigarh,RENTED,COMPLETED,"80, Sector 17 Main Road",Near Sector 17 Market,Sector 17,,Chandigarh,Chandigarh,CH,160017,IN,30.733300,76.779400,1563.59,1148.72,SQM,25,2021,5
PROPERTY,ABC-COL-0071,RESIDENTIAL,APARTMENT,4 BHK apartment in RERA registered project,L&T Raintree Boulevard,Tower B,Block 4,171,12,,,,,PID-PB-2021-88071,PT-PB-9900071,REG/2018/100071,SD/2018/50071,2018-11-19,Sub-Registrar Model Town Ludhiana,UNDER_CONSTRUCTION,UNDER_CONSTRUCTION,"81, Model Town Main Road",Near Model Town Market,Model Town,Opposite Model Town Bus Stand,Ludhiana,Ludhiana,PB,141001,IN,30.902000,75.858300,2508.55,3660.25,SQM,26,2022,4
PROPERTY,ABC-COL-0072,COMMERCIAL,OFFICE,Commercial office unit in business district,,Tower C,,172,13,,,,,PID-BR-2022-88072,PT-BR-9900072,REG/2018/100072,SD/2018/50072,2018-12-15,Sub-Registrar Boring Road Patna,SELF_OCCUPIED,COMPLETED,"82, Boring Road Main Road",,Boring Road,,Patna,Patna,BR,800001,IN,25.596100,85.139600,1863.12,2951.68,SQM,27,2005,21
PROPERTY,ABC-COL-0073,RESIDENTIAL,APARTMENT,3 BHK apartment in RERA registered project,DLF Camellias,Tower D,Block 2,173,14,,,,,PID-JH-2023-88073,PT-JH-9900073,REG/2020/100073,SD/2020/50073,2020-01-03,Sub-Registrar Main Road Ranchi,RENTED,COMPLETED,"83, Main Road Main Road",Near Main Road Market,Main Road,Opposite Main Road Bus Stand,Ranchi,Ranchi,JH,834001,IN,23.347100,85.312600,1244.43,200.33,SQM,28,2006,20
PROPERTY,ABC-COL-0074,RESIDENTIAL,APARTMENT,4 BHK apartment in RERA registered project,Godrej Platinum,Tower E,Block 3,174,15,,,,,PID-OD-2024-88074,PT-OD-9900074,REG/2020/100074,SD/2020/50074,2020-10-19,Sub-Registrar Saheed Nagar Bhubaneswar,VACANT,UNDER_CONSTRUCTION,"84, Saheed Nagar Main Road",Near Saheed Nagar Market,Saheed Nagar,,Bhubaneswar,Khordha,OD,751001,IN,20.300100,85.828500,1589.4,2492.51,SQM,29,2007,19
PROPERTY,ABC-COL-0075,RESIDENTIAL,APARTMENT,2 BHK apartment in RERA registered project,Lodha Palava,Tower A,Block 4,175,16,,275/1,,,PID-AS-2020-88075,PT-AS-9900075,REG/2022/100075,SD/2022/50075,2022-05-19,Sub-Registrar Zoo Road Guwahati,RENTED,COMPLETED,"85, Zoo Road Main Road",,Zoo Road,Opposite Zoo Road Bus Stand,Guwahati,Kamrup Metropolitan,AS,781005,IN,26.149500,91.741200,2388.39,4071.96,SQFT,5,2008,18
